A,U,W,S,Y,I
0,-0.18675478689768854,-0.0827737182800844,1,1,1
1,-1.1014043672219243,-0.4344284817096853,1,0,1
0,-0.042071281509685254,-0.37725932840030235,1,0,1
1,0.5728207074121154,1.4891875286810348,0,-9999,1
0,1.3400517442026545,1.0389348393940847,0,-9999,1
0,0.8120966140026274,-1.7638180297708854,1,1,1
0,-0.919655260112122,-2.4717339283833164,1,1,1
0,0.1237668760644482,-1.386900798119802,1,1,1
0,0.17703057069903144,-0.832790704891279,1,0,1
0,-0.6678455093720626,-1.3833414149960408,1,0,1
1,-0.34811306818430204,0.9912707312132234,1,1,1
0,0.21371594568701344,-2.4256946147681613,1,0,1
1,0.2922831125779764,1.6410336200557287,1,1,1
0,1.2978468141246937,0.3252209932480785,1,1,1
1,1.936843843068722,1.989795497246178,0,-9999,1
0,1.199794951056141,1.3859626315597975,0,-9999,1
0,-0.9772266499812823,-2.687934212738588,1,0,1
1,0.17441825154758145,3.783544373758794,1,0,1
0,0.2891992309078146,-0.3284064658451063,1,0,1
0,0.5367234231306774,-1.689905945289146,1,0,1
0,-0.29777311951064384,-1.464677340878081,1,1,1
1,-0.7021526459292742,0.20458832799537685,1,0,1
1,0.6363854175414578,2.6446374475020646,0,-9999,1
0,-0.0690571143850049,-0.7194227476083989,1,0,1
1,0.6936476054363429,1.6746349563804257,1,0,1
1,0.4635122468656101,1.5378686453622232,1,1,1
1,1.9153958791462282,4.502228982882119,0,-9999,1
0,0.872366116137859,0.9476077662683388,1,1,1
0,1.587039202137666,0.010479048054770956,1,1,1
1,-0.02401257953640236,-0.13308892349875112,1,1,1
1,2.0209421118969075,3.1041076823291167,0,-9999,1
1,1.0744420497798282,2.6418163159631574,0,-9999,1
0,1.061444772478242,1.506406130274826,1,1,1
1,0.9954728456242501,3.690015723975845,0,-9999,1
0,-1.1828477529190629,-1.2877445915616328,1,0,1
1,-0.8409894354534391,0.3609939409869729,1,1,1
1,2.4291240856231524,2.6831437126602564,0,-9999,1
0,-1.2062467416162264,-2.061097121521616,1,0,1
0,0.26704659837314104,-1.734953638419312,1,1,1
0,-1.10664835662422,-2.461351448555997,1,1,1
1,-0.6433128533701296,-1.1885408047983717,1,0,1
0,0.35602158822466484,-1.8538344760001262,1,1,1
0,1.6813752607093964,1.6647042854040346,1,1,1
0,-0.013121921111266662,-1.4882050678700527,1,1,1
1,1.1377412676809773,-0.06526155207690154,1,0,1
1,0.5776258412828092,1.7309425174603685,0,-9999,1
0,-0.21132363004875607,-0.5556681227297837,1,1,1
0,0.10007253767219376,-1.6944567353168538,1,1,1
1,-0.1262438941312432,0.5478594152800118,1,1,1
0,-0.8257619489811758,-3.505183270054974,1,0,1
1,0.37722887671881505,0.5632809679920918,1,0,1
1,-0.8789512397656299,0.2619456588286413,1,0,1
0,2.4871205917098385,2.296759957801913,0,-9999,1
0,0.908558328538314,0.4215737758773518,0,-9999,1
1,1.0880598455189088,3.463473820166067,0,-9999,1
0,-0.48568463959023267,-1.754423774258961,1,1,1
1,1.4315880720110323,2.581451942270524,0,-9999,1
0,-0.20075646140304104,-1.6605154503590729,1,0,1
1,-1.4573944929516567,1.5234807303453823,0,-9999,1
0,-0.22959174443094643,-0.9638016159580253,1,0,1
0,1.3133135897028196,3.990710631110467,0,-9999,1
0,0.5586496280576893,-0.09967086314409379,1,1,1
1,1.356384942901929,1.652685738284044,1,0,1
1,-0.2586247252442976,3.215993881292866,0,-9999,1
0,-0.6833346258652271,-1.9209907498356957,1,1,1
0,0.13391322849091178,-2.337749098427187,1,1,1
1,-0.8977973459447238,-1.4212888701782358,1,0,1
1,1.0502641632960161,0.7404173189083312,1,0,1
0,0.40884966115991683,0.7219900197957463,1,1,1
0,0.864412751039179,0.9452239136962131,1,0,1
0,1.328879362202353,0.09822596473677869,1,1,1
1,-0.8773575783352535,-1.0928149120572614,1,0,1
1,1.2246066843517198,3.89601949605804,1,1,1
1,-0.09433537818724623,1.8395596129259517,1,1,1
1,0.30531842229347295,1.7161744460822332,1,1,1
0,-0.17512919976465605,-1.1795839409049174,1,0,1
1,-1.6269115448721265,-1.1683640654508307,1,0,1
