id,A,H
0,0,0
1,0,1
2,0,1
3,1,1
5,0,0
6,0,1
7,1,1
8,1,1
10,0,0
11,0,1
13,0,1
14,0,1
15,0,0
16,0,0
17,0,0
18,0,1
19,0,1
20,0,1
21,1,1
22,0,0
23,1,0
24,0,0
25,0,0
26,0,1
27,0,0
28,0,1
29,0,0
30,0,0
31,0,0
32,1,0
33,0,1
34,1,0
36,0,0
37,0,1
38,0,0
39,0,0
41,0,0
42,0,0
43,0,1
44,0,0
45,0,0
46,0,1
47,0,1
48,0,0
49,0,1
50,0,0
51,0,0
52,0,0
54,1,0
55,0,0
56,0,1
57,0,0
58,0,0
59,0,0
60,0,1
61,0,0
62,0,1
63,0,1
64,0,1
65,0,0
66,1,0
67,0,1
68,0,0
69,0,1
70,0,0
71,0,0
72,0,0
73,0,0
75,1,0
76,0,1
77,0,0
79,0,1
80,0,0
82,1,1
83,0,0
84,0,0
85,0,1
86,0,0
87,0,0
88,1,0
90,0,0
91,0,0
93,0,0
94,1,1
95,1,0
97,0,1
98,0,0
99,0,1
101,0,0
102,0,0
103,0,1
106,1,0
109,0,0
110,1,1
111,0,1
112,0,0
113,0,1
115,0,0
116,0,0
117,0,1
120,0,1
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,1,0
127,1,1
129,0,0
130,0,0
131,0,1
132,0,0
133,0,0
135,1,0
137,1,1
138,0,0
139,0,1
141,0,1
142,0,1
143,1,1
144,0,0
146,0,0
148,0,0
149,0,1
150,0,1
151,0,0
152,0,1
153,0,1
154,0,1
155,1,0
156,0,0
157,1,0
158,0,0
159,0,0
160,0,1
161,0,1
162,0,0
163,0,1
164,0,1
165,0,1
167,0,1
168,0,0
169,0,1
170,1,1
171,1,0
172,0,1
173,0,0
178,0,0
179,1,1
180,0,0
181,0,1
183,0,1
184,0,1
185,0,1
186,0,1
188,0,0
189,1,0
190,0,1
191,1,0
192,1,1
193,0,0
194,0,1
195,0,0
196,0,0
197,1,1
198,0,1
199,0,0
200,0,0
201,0,1
202,0,0
203,0,0
204,0,1
205,0,0
206,0,0
207,0,0
208,0,1
209,1,1
210,1,0
211,0,0
212,0,1
213,0,1
214,0,1
215,1,0
217,0,1
218,0,0
219,1,1
220,0,1
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,1
228,1,1
229,0,1
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,1
237,0,0
239,1,1
240,1,1
242,0,0
243,0,0
244,0,1
245,0,0
246,0,1
247,0,0
249,1,0
250,1,1
251,0,1
252,0,0
253,0,1
255,0,1
256,0,1
257,0,0
258,1,0
259,0,0
263,1,0
264,0,1
265,0,0
266,0,0
267,0,0
268,0,0
269,0,1
270,0,0
271,0,0
272,0,0
273,0,1
274,0,1
275,0,1
276,0,1
277,0,1
278,1,1
279,0,0
281,0,1
284,0,0
285,0,1
286,0,0
287,0,1
288,0,0
289,0,1
290,0,0
291,1,0
292,0,1
293,0,0
294,0,1
296,0,0
297,0,0
298,0,0
299,0,0
300,0,1
301,0,0
302,0,0
303,0,1
304,0,1
305,1,1
306,1,0
309,0,1
310,0,1
311,0,1
312,0,0
314,0,1
315,0,0
316,0,1
317,0,1
318,1,0
319,0,0
320,0,0
321,0,0
322,0,1
323,0,1
324,0,1
325,0,1
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,1,0
332,0,1
333,0,0
334,1,0
335,1,1
336,0,0
337,0,1
338,0,0
339,0,1
340,0,0
341,0,1
342,0,1
343,0,0
344,0,1
345,0,0
347,1,0
348,1,1
349,0,1
350,0,0
351,0,0
352,1,1
353,0,0
354,1,0
355,0,0
356,1,1
359,0,0
360,0,1
