id,A,H
0,0,1
1330,0,0
1,0,0
508,0,1
1308,0,0
1258,0,1
2,1,1
1226,0,0
2021,0,1
16,0,1
2011,0,0
1714,0,0
1190,0,0
3,0,0
468,0,1
1188,0,0
1009,0,0
1770,0,1
1753,0,0
4,0,0
1111,0,1
1991,1,0
5,0,0
1691,1,0
74,0,0
6,0,0
1306,0,0
7,0,1
1850,0,0
1802,0,0
1351,0,1
2037,0,0
683,0,0
9,0,0
1981,0,1
327,0,0
487,0,0
462,0,1
1772,0,0
1218,0,0
10,0,1
1852,0,0
718,1,0
1346,1,0
1348,0,0
11,0,0
729,0,0
1584,0,1
1249,0,0
303,0,0
997,0,1
1103,0,0
12,1,1
458,0,1
13,0,1
1856,0,1
1180,0,1
1524,0,0
2057,0,1
1403,0,1
14,0,0
1014,0,1
345,1,0
15,0,0
911,1,0
210,0,0
384,0,0
17,0,1
304,0,1
747,0,1
18,0,0
37,0,0
320,0,1
19,0,0
976,1,1
1277,0,1
389,0,0
211,0,0
298,0,1
20,0,0
1860,0,0
1642,0,0
1929,0,0
1338,0,0
21,0,0
578,1,0
386,0,0
1287,1,1
2070,0,1
445,0,1
22,0,0
1074,0,0
2035,0,1
23,0,0
804,0,1
1543,1,1
1262,0,1
359,0,0
24,0,0
353,1,1
1429,0,0
174,0,0
1550,0,1
99,0,0
25,1,0
741,0,0
2039,1,1
26,0,0
1374,0,1
461,0,0
27,0,1
1609,0,0
188,0,0
83,1,0
1818,0,1
1332,0,0
1704,0,1
28,0,0
1199,0,0
886,0,0
1167,1,0
29,0,1
1267,0,0
1110,0,0
30,0,0
156,0,0
322,0,1
2038,0,0
954,0,0
1189,0,1
31,0,0
1774,0,1
32,0,1
1720,0,0
766,0,0
33,1,0
1503,0,1
1070,1,0
549,0,0
615,0,1
34,0,0
1327,1,0
1773,0,0
447,0,0
46,0,0
313,0,1
35,0,0
206,1,0
1229,1,1
1420,0,1
454,0,1
134,1,0
36,0,1
1288,1,1
711,0,0
1608,1,0
1534,0,0
1710,0,0
1015,0,0
137,0,0
1599,0,1
65,1,0
38,0,1
1220,0,1
1387,0,0
651,1,0
765,0,0
39,0,1
773,0,0
712,0,0
40,0,1
901,1,0
584,0,1
1715,0,0
2005,0,0
349,0,0
418,1,1
41,0,1
788,0,1
1649,0,0
363,0,0
42,0,1
308,0,0
633,0,1
1735,0,1
1718,1,0
271,0,0
43,0,0
2001,0,0
945,1,1
44,0,0
1701,0,1
1596,0,1
1700,0,0
45,1,0
580,0,0
1529,0,0
1815,0,0
966,0,0
398,0,1
1436,0,1
1317,0,0
618,0,1
47,0,1
486,1,1
845,0,1
1671,0,1
2019,0,1
1763,0,0
48,1,1
453,1,0
511,0,1
872,0,0
49,0,0
246,1,1
1570,0,1
695,1,0
1175,0,0
1360,0,0
882,0,0
51,0,1
746,0,1
52,0,1
1573,0,0
1462,0,0
54,0,1
1193,0,0
775,0,1
1372,0,1
842,0,1
1820,0,1
55,0,0
420,0,0
331,0,0
784,0,1
1024,0,1
56,0,1
185,0,0
57,0,1
463,0,1
58,0,0
606,0,0
107,0,1
114,1,0
1131,0,0
59,0,1
692,1,1
82,0,1
60,0,0
1453,0,0
130,0,0
370,1,1
1995,0,1
358,0,0
61,0,0
290,0,1
1779,0,0
1925,0,0
1455,0,0
1878,0,1
62,1,1
1045,0,0
63,0,1
1087,0,1
916,0,1
198,0,1
1095,0,1
64,0,0
1581,0,0
1866,0,1
1151,1,1
1217,0,0
66,0,0
740,0,0
742,0,0
67,0,1
1857,1,1
470,0,0
896,0,0
361,0,0
68,1,1
797,0,1
427,0,0
69,0,1
1814,1,0
1657,0,0
154,0,0
374,0,1
70,0,0
1743,0,1
1920,0,1
71,0,0
1787,0,0
1127,0,1
1954,1,1
524,0,0
1525,1,1
72,0,0
1065,0,0
1551,0,1
1537,0,1
73,0,1
337,0,1
869,0,1
1169,0,0
323,0,0
914,0,1
544,0,0
1668,0,0
75,0,1
1344,0,0
319,0,1
654,0,0
459,0,0
1407,0,1
76,0,0
309,0,1
1947,0,1
967,0,1
975,0,1
1106,0,0
77,0,1
585,1,0
1496,0,0
1650,0,0
1582,0,0
78,1,0
1970,1,1
1623,0,1
79,1,0
329,1,0
80,0,1
1864,0,0
1173,0,1
81,0,0
406,0,1
1251,0,1
1552,0,1
1138,0,0
751,0,0
1825,0,0
1781,0,0
1107,1,1
1410,0,0
1323,0,0
84,0,1
1016,0,0
949,1,0
922,0,0
85,0,1
335,0,1
1654,1,0
1353,0,1
548,0,0
86,0,0
791,0,0
519,0,1
1685,0,0
1461,0,0
1562,0,1
1876,0,0
87,1,1
481,0,0
1983,0,0
780,0,0
876,0,0
88,1,0
821,0,1
1128,0,0
153,0,1
1005,0,1
89,0,1
1256,0,0
90,0,1
1805,0,1
674,0,1
91,0,0
1535,0,0
1324,0,1
1336,0,0
1405,0,1
774,0,1
92,0,1
1329,1,0
1428,0,0
1833,0,0
93,0,1
234,1,0
1514,0,0
94,0,1
1443,0,0
1412,0,0
2033,0,1
1669,1,1
999,0,1
95,0,0
1259,0,1
1632,0,1
1839,0,1
96,0,0
247,1,0
2044,0,0
1276,0,1
1659,0,1
583,0,1
97,0,1
1006,0,0
150,0,1
1359,0,1
684,0,1
772,0,0
1092,0,1
98,0,0
1158,0,1
1206,1,1
516,0,0
1752,0,0
1842,0,1
121,1,0
955,0,0
1397,0,1
100,0,1
362,0,0
854,0,1
1790,1,1
283,0,0
1121,1,1
1048,1,0
101,0,1
1807,0,1
1873,0,1
102,0,1
864,0,1
1393,0,0
157,0,0
103,0,1
365,0,1
1673,0,0
1011,0,0
855,0,1
104,1,0
696,0,1
575,0,1
403,0,1
863,0,0
197,0,1
105,0,0
634,0,1
750,0,0
1385,0,1
106,0,0
790,0,1
1716,1,1
1435,0,1
1470,0,0
942,0,1
248,0,1
1467,0,1
1246,1,1
108,0,0
1240,0,0
109,0,0
1273,0,0
915,0,1
1020,0,1
110,0,1
239,0,1
1648,1,1
1646,0,1
111,0,0
1827,0,1
734,0,0
1804,0,0
851,0,0
523,0,1
112,0,1
894,0,0
952,0,1
314,0,1
113,0,1
1808,0,1
643,0,0
476,0,0
1182,1,0
1274,0,1
1075,0,0
1519,0,1
1032,0,0
115,0,1
510,0,0
877,0,0
1580,1,0
116,0,1
1812,0,0
2036,0,0
178,0,1
117,0,1
1639,0,0
2061,0,1
118,0,1
2051,0,0
2052,1,0
738,0,1
119,0,1
1730,0,1
344,1,1
728,0,0
1756,0,0
189,0,1
951,0,1
120,0,1
527,0,0
1939,0,1
1439,0,1
122,0,1
771,0,1
609,0,1
1594,0,1
123,0,1
1178,0,0
209,0,0
1593,1,1
124,0,0
668,0,0
1228,1,1
255,1,0
125,0,0
1395,0,1
1798,0,0
126,0,0
2017,0,0
127,0,1
164,1,1
812,1,0
128,0,1
129,0,1
263,1,1
1447,0,0
1797,0,0
1114,0,1
555,0,0
131,0,0
828,0,0
226,0,0
133,0,0
1442,0,0
554,0,0
340,0,0
135,0,1
641,0,0
1035,0,0
2063,0,0
136,0,0
449,0,1
1934,0,1
1082,0,1
1205,1,0
138,1,1
1506,0,1
139,0,1
1993,0,0
388,0,0
1303,0,0
594,0,1
1688,0,0
140,0,1
202,0,1
141,0,0
274,0,1
142,0,1
1944,0,1
1709,0,0
1465,1,1
143,0,1
1272,0,0
1865,0,0
144,0,1
1751,0,1
2008,0,0
145,0,0
1921,0,0
493,0,0
1635,0,0
146,0,1
2049,0,1
857,0,1
147,0,0
212,0,1
148,0,0
576,0,1
1972,0,1
149,0,1
895,0,1
1986,1,1
1310,0,0
1794,0,1
1168,0,0
1945,0,1
1488,1,1
151,1,1
1049,0,1
566,0,1
1928,0,0
1667,0,1
152,0,0
926,0,0
748,0,0
1909,0,1
705,0,0
1737,0,0
1451,0,0
1383,0,0
155,0,1
260,0,0
1711,0,1
799,0,0
1544,0,1
279,0,0
1693,0,1
1868,1,0
158,0,1
562,1,1
376,0,1
866,0,0
253,0,1
767,1,0
159,0,0
284,1,0
1318,0,1
1176,0,0
175,0,1
160,0,0
1456,0,0
1831,0,0
1479,0,1
264,0,0
161,0,1
483,0,0
375,0,1
601,0,1
1284,1,1
162,0,1
1023,0,0
163,0,1
600,1,1
1376,1,1
710,0,0
401,0,1
165,1,0
1558,0,0
1225,0,1
1300,0,0
166,0,1
1322,0,0
1080,0,1
167,0,0
826,0,0
168,0,1
1994,0,0
940,0,1
698,0,1
169,0,0
1572,0,0
170,0,0
1518,0,1
171,0,1
172,0,0
497,0,1
1315,0,1
673,0,0
1268,0,1
173,0,1
919,0,0
1638,0,0
1872,0,0
1292,0,1
1746,0,1
1355,0,0
985,0,0
1531,1,1
472,0,0
1936,1,1
213,0,1
2046,0,1
1847,0,1
176,0,0
802,0,0
300,0,1
177,0,1
2024,0,1
1105,0,0
473,0,1
179,0,0
1253,0,0
297,0,1
680,0,1
180,0,1
181,0,1
545,0,1
182,0,1
502,0,0
183,0,1
471,0,1
1040,0,0
184,0,0
1692,0,0
569,0,1
2042,0,1
251,1,0
667,0,0
535,1,0
186,0,0
2060,0,1
1548,1,1
1863,0,0
485,1,0
187,0,0
1744,0,0
632,0,0
903,0,0
451,0,0
190,0,0
191,0,1
1460,0,1
350,0,1
1533,1,0
192,1,1
371,0,0
193,0,0
582,0,0
1687,0,0
2016,0,1
194,0,0
276,0,1
881,0,0
195,0,0
1683,0,0
1998,0,0
556,0,0
196,0,0
1767,0,0
1452,0,1
921,1,1
1834,0,1
199,1,0
1610,0,0
1432,0,1
200,0,1
577,0,1
1279,0,0
503,0,0
1942,1,0
201,0,0
785,0,1
678,0,0
204,0,0
379,0,0
205,0,1
1477,0,0
1769,0,1
1187,0,0
1823,0,1
1311,0,0
1283,0,1
207,1,1
1881,0,0
377,0,1
1930,0,1
208,1,1
1616,0,0
512,0,0
807,0,1
636,0,0
579,0,1
1392,1,0
735,0,1
596,0,1
1445,0,1
1532,0,1
214,0,0
1734,0,0
1357,0,0
499,0,1
215,0,1
1811,0,0
586,0,0
1261,0,0
216,0,0
1265,0,0
832,1,1
853,1,0
217,0,1
737,0,0
611,0,1
218,0,0
564,0,1
219,0,1
913,1,0
513,0,0
1589,0,0
1762,0,0
220,1,1
825,0,0
221,0,0
1433,0,1
222,0,0
321,0,1
223,0,0
988,0,0
1901,0,1
224,0,0
539,0,0
225,0,1
227,0,1
1958,0,0
1440,0,0
1079,0,1
1195,0,1
448,0,1
228,0,1
1400,0,1
366,0,1
1978,0,0
822,0,1
229,0,0
439,0,0
230,1,0
786,0,1
617,1,0
1696,0,0
231,0,0
232,0,1
233,0,0
1819,1,0
939,0,1
1822,0,1
235,0,0
838,0,0
1183,0,1
2027,0,0
236,0,0
1419,0,1
237,0,0
392,0,0
890,0,1
1019,0,1
238,1,0
973,0,1
526,0,0
240,1,1
241,0,0
1927,0,0
242,0,0
1404,0,1
610,0,1
1269,0,0
2053,0,1
243,0,1
1380,0,0
1952,1,0
930,0,0
244,0,1
410,0,0
292,0,0
1846,0,0
1622,0,1
1136,0,0
570,0,0
961,0,1
249,0,0
1961,0,0
932,0,0
250,0,1
950,0,0
2072,0,0
1474,0,1
1008,0,0
969,0,0
252,0,1
1788,0,0
1250,0,1
2047,0,0
1733,0,0
254,0,1
989,0,0
1066,0,1
1567,0,0
646,0,0
256,1,1
432,0,1
257,0,1
258,0,0
482,1,1
1951,1,0
259,0,0
1896,1,1
1540,0,0
261,1,0
1946,1,0
262,0,1
1621,0,0
1148,0,1
266,0,0
1588,0,0
536,0,1
1749,0,1
1144,1,0
267,0,1
1665,0,0
2020,0,1
268,0,0
1487,0,1
269,0,1
521,0,1
1416,0,0
270,0,0
934,0,1
1495,0,0
436,0,1
272,1,1
273,0,1
637,0,0
598,0,0
275,1,1
1242,0,0
1013,0,1
478,1,0
1917,0,1
1343,1,1
409,0,0
277,0,0
650,0,1
1674,0,1
1036,0,0
1980,0,0
278,0,1
1672,0,1
501,1,0
2067,0,1
814,0,0
1706,0,1
280,0,0
281,0,1
1549,0,0
709,0,0
1830,0,0
282,0,0
1867,0,0
1197,0,0
1828,0,0
1084,1,1
1224,0,1
1427,0,0
707,0,1
285,0,1
1237,0,1
509,1,0
1607,0,0
1888,0,0
286,0,1
732,0,1
287,0,0
879,0,0
330,0,0
288,0,0
399,0,0
800,0,1
1973,0,0
289,0,1
1600,0,0
2050,0,0
1591,1,0
1116,0,0
291,0,1
665,0,0
626,0,1
293,0,1
294,0,0
968,0,0
689,0,0
959,0,0
1996,0,1
295,1,0
460,0,0
1899,1,0
1564,1,0
296,1,1
1083,0,0
1500,1,0
1979,0,1
299,0,0
602,0,1
1209,1,1
833,1,1
1373,0,0
301,1,1
944,0,1
302,0,1
837,0,0
1897,0,0
827,0,0
1341,1,1
305,0,1
2015,0,0
871,0,1
984,0,1
841,1,0
306,0,1
649,0,0
307,0,0
382,0,1
425,0,0
1484,0,0
726,0,1
310,1,1
1166,0,1
616,1,0
311,1,1
1647,0,0
452,0,1
312,0,0
587,0,1
2034,0,1
798,0,1
2071,1,1
1316,1,0
315,0,1
346,0,1
484,0,0
316,0,1
492,0,1
317,0,0
318,1,0
972,0,0
1364,0,1
781,0,1
1907,0,0
1810,0,1
1612,0,0
1712,1,0
480,0,0
1438,0,1
324,0,0
325,0,1
573,0,0
843,0,0
326,0,1
971,1,0
1583,0,1
2009,0,0
543,0,0
1761,0,1
1560,0,0
328,0,1
912,0,0
1215,0,1
1305,0,0
1778,0,1
1294,0,0
1042,0,0
1196,0,0
332,1,0
848,1,0
333,1,1
1390,0,0
867,0,0
334,0,1
2018,0,1
1482,0,0
553,1,0
336,0,0
818,1,0
338,0,0
395,0,1
339,0,0
933,0,1
394,1,1
1832,0,1
341,0,1
342,1,1
1286,0,0
343,0,0
1122,0,0
763,0,1
1222,0,0
614,0,0
1577,0,1
899,0,0
1664,0,0
1889,0,1
347,0,1
1466,0,1
1394,0,0
348,1,0
731,0,1
1221,1,0
351,1,1
1096,0,1
1904,0,0
352,0,0
1017,0,1
421,0,0
1033,0,1
546,1,0
354,0,1
1900,0,1
356,0,1
1012,1,1
360,1,1
357,0,1
1135,0,0
498,0,1
793,0,1
1698,0,0
990,0,1
1516,0,0
1697,0,0
1719,0,0
364,0,0
859,0,0
644,1,1
1424,0,0
433,0,0
638,0,0
1976,1,1
367,0,0
368,0,0
414,0,0
369,0,1
469,0,1
372,1,0
373,0,0
861,0,1
1295,0,1
935,0,0
1145,0,1
1345,0,1
982,0,1
378,0,0
925,0,0
758,0,1
1658,0,0
943,0,0
380,1,0
1152,0,1
504,0,0
1069,0,0
839,0,0
1254,0,0
381,0,1
1264,1,0
1766,0,0
1717,0,1
383,0,1
1248,0,0
1101,0,1
1528,0,0
1117,0,1
385,0,0
1816,1,1
1859,0,1
811,0,1
387,0,0
1523,0,1
769,0,1
1444,0,1
1293,0,1
1050,0,0
390,0,0
1633,0,1
391,0,0
2041,1,0
393,0,0
1051,0,1
789,1,1
1768,0,0
1112,1,0
396,0,0
