id,A,H
0,0,0
321,0,0
292,0,0
459,0,0
333,0,0
1,0,1
419,0,1
275,0,0
25,0,1
488,0,1
92,0,0
421,1,0
2,1,1
161,1,1
41,0,1
376,1,0
14,0,1
432,0,1
3,0,1
408,0,0
301,0,1
157,0,0
211,0,1
4,0,0
420,0,1
5,0,0
98,0,0
91,0,1
297,0,0
6,0,1
460,0,0
8,0,0
164,0,0
393,0,1
44,0,0
467,0,0
471,0,0
127,0,1
9,0,0
344,0,1
97,0,0
324,0,0
10,0,1
346,0,0
11,0,0
295,1,1
222,0,1
12,0,1
352,0,0
171,0,1
369,0,0
441,0,0
351,0,1
13,0,0
310,1,1
364,0,0
213,0,0
82,0,0
15,0,0
274,1,0
111,0,0
317,0,1
147,0,1
16,0,1
341,0,0
116,0,0
209,0,0
243,0,1
17,1,1
289,0,0
462,1,0
430,0,0
18,0,0
155,0,0
19,0,0
20,0,1
119,0,1
320,0,0
173,0,1
103,0,1
216,1,0
273,0,1
21,1,1
305,0,1
22,0,0
88,0,1
337,0,0
181,0,0
253,0,1
293,1,0
386,0,1
23,0,0
412,0,0
159,0,1
104,0,0
453,1,1
24,1,0
423,1,1
26,0,1
281,0,1
371,0,1
150,0,1
207,0,1
179,0,0
105,0,1
27,0,0
410,0,0
425,0,0
28,0,1
47,0,0
101,0,0
374,0,0
391,0,0
29,0,0
415,0,1
354,0,1
409,0,1
115,1,1
30,0,0
152,0,0
133,0,1
68,0,0
233,0,0
31,0,0
502,0,1
336,0,0
492,0,1
32,0,0
277,1,0
146,0,0
377,0,1
33,1,0
490,0,0
237,0,0
34,0,1
438,0,1
35,0,0
57,1,0
426,0,0
36,0,1
343,0,0
284,0,0
83,0,1
418,0,0
475,0,1
196,0,0
37,0,0
385,0,1
395,1,1
266,0,0
220,0,0
208,0,0
242,0,0
38,0,1
477,0,0
192,0,1
294,0,0
124,0,0
64,1,1
87,0,0
39,0,1
40,0,0
160,0,1
387,0,1
429,0,0
194,1,1
174,0,1
42,0,0
436,0,0
450,0,0
43,1,1
114,0,1
435,1,1
307,0,0
325,1,0
433,0,0
61,0,1
315,0,0
188,0,0
265,0,1
45,0,1
302,0,0
334,0,1
271,0,0
46,0,1
443,0,0
167,0,1
60,0,1
431,0,0
100,0,1
247,0,0
48,0,0
55,0,1
448,0,1
392,0,1
49,0,0
316,0,0
50,0,0
187,0,1
56,0,0
63,0,0
483,0,0
52,1,1
276,0,0
53,0,1
469,0,0
461,0,0
306,0,0
54,0,1
509,0,1
130,0,0
74,0,0
169,1,1
148,0,0
185,0,0
268,1,1
59,0,0
163,0,0
229,0,0
399,0,0
350,0,0
62,0,0
454,0,0
178,1,0
200,0,0
95,0,1
72,0,1
67,1,0
120,0,0
65,0,1
230,1,0
99,0,0
66,0,0
373,0,0
219,0,0
338,1,1
411,0,1
439,0,0
180,0,0
69,0,1
145,0,0
370,0,1
444,0,0
457,0,1
367,0,1
70,0,0
182,0,1
71,0,1
158,0,0
427,0,0
318,0,0
349,0,1
140,0,1
269,0,0
375,0,0
73,0,1
252,0,0
122,0,0
256,0,1
142,0,1
75,1,0
76,0,0
77,0,0
445,0,0
472,1,0
259,0,1
78,0,1
212,0,0
296,0,0
108,0,0
79,0,1
176,0,1
165,0,0
414,1,0
80,0,0
356,0,1
