source,target
0,261
1,518
1,1012
1,53
1,947
1,550
1,1020
2,415
2,725
2,824
2,1024
2,156
3,869
3,435
4,649
4,414
4,776
4,789
5,675
5,99
5,104
6,627
6,58
6,1032
7,270
7,766
7,754
7,243
8,104
8,303
8,334
8,367
8,800
8,694
9,620
9,1024
9,565
9,546
10,958
10,130
10,642
10,19
11,414
11,494
11,967
11,584
12,915
12,879
12,812
13,795
13,613
14,978
14,628
14,216
14,774
14,504
15,368
15,766
16,880
16,969
16,320
17,189
17,250
17,268
17,403
17,312
18,957
19,405
19,379
19,97
19,991
19,511
20,603
20,493
20,718
20,375
20,434
20,772
22,410
22,795
22,994
22,715
23,858
23,167
23,550
23,654
24,28
24,42
24,573
24,161
25,115
25,264
26,123
27,94
27,330
27,285
27,322
27,698
27,694
28,122
28,969
28,744
28,273
28,123
29,631
29,557
30,790
30,456
30,319
30,594
31,598
31,823
31,322
31,558
32,661
32,496
32,700
32,557
32,726
32,353
33,616
33,54
34,131
34,714
34,665
35,1027
35,366
36,857
36,342
36,445
36,798
37,501
37,696
37,436
37,951
37,524
38,338
38,256
38,750
38,270
38,279
39,743
39,960
39,602
39,713
39,332
40,754
40,638
40,724
40,702
40,560
40,909
41,321
41,888
41,384
42,871
42,797
42,957
43,375
43,111
43,451
43,279
43,749
43,363
44,332
44,207
44,74
44,429
44,769
45,1025
45,632
45,220
45,867
46,959
46,586
46,166
46,784
46,251
46,780
47,676
47,573
48,139
48,978
49,234
49,1024
49,125
50,485
51,559
51,861
51,524
51,171
51,81
52,285
52,682
53,196
53,377
53,329
53,274
53,757
54,781
54,891
55,877
55,1005
55,561
55,367
55,211
56,329
57,574
57,839
57,170
57,701
58,920
58,190
58,833
58,679
59,745
59,486
60,648
60,175
60,285
60,766
61,1016
61,414
61,636
61,264
62,840
62,517
62,375
62,1028
62,169
63,104
63,683
63,425
63,691
64,441
65,468
65,144
65,704
66,69
66,369
66,206
66,946
66,721
67,1003
67,792
67,886
68,281
68,152
68,605
68,905
68,101
69,558
69,276
69,196
71,783
71,595
72,1011
72,532
72,847
73,606
73,899
73,1029
73,509
74,881
74,542
74,556
74,805
74,950
75,546
75,523
75,667
76,974
76,325
76,692
76,882
76,192
76,881
77,902
77,271
78,629
78,1009
78,1011
79,855
79,145
79,191
80,497
80,524
82,160
83,105
83,127
83,988
84,272
84,570
84,961
84,844
84,436
85,896
86,307
87,122
87,315
87,848
87,636
88,297
89,937
89,578
89,1026
89,727
89,207
89,234
90,948
90,115
91,633
91,834
91,885
91,672
91,484
91,707
92,500
92,436
93,852
93,368
93,501
93,465
94,567
94,748
94,917
95,353
95,124
95,392
95,733
95,848
97,174
97,332
98,957
98,289
98,189
98,785
98,675
98,424
99,507
99,641
100,508
100,889
100,530
101,362
101,139
101,755
101,225
102,490
102,231
102,951
102,494
103,493
103,858
103,796
103,572
103,239
104,641
104,680
104,244
105,482
106,601
106,668
107,674
107,1025
107,916
108,997
109,1013
110,653
110,947
110,835
111,681
111,938
111,398
111,341
112,982
112,525
113,645
113,477
113,204
113,965
113,272
113,829
114,160
114,420
114,380
114,930
114,605
114,767
115,199
115,535
115,469
115,250
116,812
116,350
116,825
116,761
116,635
117,921
117,938
117,567
117,477
117,540
118,875
118,123
118,846
119,328
119,395
121,852
121,745
121,864
122,795
122,377
123,433
123,1040
124,242
124,298
124,961
124,525
124,459
125,447
125,161
127,434
127,951
127,574
127,1029
127,919
129,864
130,831
131,668
132,755
132,237
133,658
133,838
133,772
134,737
135,1005
136,319
136,562
136,885
137,206
137,782
137,693
137,161
138,406
139,1034
141,561
141,481
141,997
141,416
141,641
141,460
142,831
142,449
142,323
143,308
143,750
144,330
144,195
144,451
145,263
145,997
145,252
146,361
146,569
147,886
147,964
147,971
147,166
148,265
148,599
148,629
149,784
149,832
149,636
149,382
149,358
149,712
150,1003
150,904
151,384
151,828
152,488
152,284
152,405
152,855
152,383
153,660
153,201
153,648
153,267
153,312
153,438
154,537
154,166
154,191
154,317
154,313
155,548
155,387
156,202
156,661
156,696
156,796
157,362
158,998
158,956
159,673
159,289
160,406
160,170
160,583
161,201
162,760
162,410
163,790
163,310
163,243
163,952
163,920
163,923
164,787
164,735
164,985
164,1020
164,673
165,519
165,815
165,804
165,947
165,489
166,171
167,791
167,238
167,935
168,315
168,496
168,643
170,426
170,1030
171,498
171,724
171,305
172,468
172,941
172,581
172,352
173,653
173,725
174,901
174,715
175,327
175,481
175,518
175,813
175,284
176,345
176,751
176,987
176,969
176,886
177,276
178,377
178,917
178,777
178,437
178,354
178,833
179,901
179,512
179,669
180,337
181,265
181,513
181,282
181,955
182,326
182,329
182,498
183,443
183,676
184,445
184,1009
185,530
185,983
185,242
185,235
185,1025
186,909
186,372
186,459
186,245
186,985
186,594
187,216
187,841
188,727
188,770
188,1002
188,502
188,1001
189,352
189,930
189,711
190,267
190,349
190,505
191,329
191,989
191,836
192,474
192,559
192,919
192,532
192,799
193,231
193,880
193,423
193,241
193,441
194,793
194,849
194,538
195,306
196,525
196,427
196,805
197,505
197,555
198,400
198,441
198,679
198,605
198,384
198,849
199,433
200,940
200,381
201,733
202,303
202,613
202,1003
202,311
203,778
203,383
205,286
206,983
206,663
206,281
206,364
207,867
207,852
209,674
210,292
210,877
210,215
210,291
211,909
211,770
211,590
214,964
214,433
214,246
214,873
214,518
215,381
215,668
215,898
215,490
215,932
216,992
217,943
217,693
217,265
217,801
217,219
218,449
218,1016
219,346
219,763
219,308
219,928
219,895
220,878
220,785
220,988
220,341
221,632
221,592
221,778
222,553
222,906
223,849
224,778
224,793
226,383
226,996
226,491
227,998
227,981
227,578
227,567
228,739
228,649
228,586
228,528
228,998
229,296
229,485
230,944
230,784
231,744
231,261
231,654
232,891
233,416
233,1013
233,449
233,271
233,849
233,530
234,1027
234,964
237,739
237,592
239,333
239,339
239,655
239,824
240,1028
240,623
240,875
240,685
242,662
242,745
242,910
243,687
243,596
244,890
244,751
244,819
245,850
245,337
245,488
246,1001
246,776
246,482
246,435
246,317
247,858
248,777
249,283
249,924
249,710
249,572
249,446
250,263
250,992
250,429
250,283
251,369
251,626
251,917
251,970
251,279
252,362
252,264
252,971
252,1000
254,539
255,601
255,956
256,385
256,713
257,355
258,992
259,418
259,1030
259,476
260,797
260,996
261,621
261,581
262,868
262,686
264,727
264,352
264,289
265,832
266,600
266,336
266,966
266,380
267,550
267,320
267,910
267,312
268,310
268,823
268,938
268,459
269,893
270,484
270,787
271,656
271,1040
272,926
272,1029
272,306
272,738
273,898
273,624
273,421
273,885
274,842
274,502
274,743
274,948
275,469
275,662
276,645
279,433
280,789
280,371
281,921
281,795
281,752
281,647
283,655
284,409
284,872
284,525
284,361
286,385
287,306
287,842
287,1012
287,319
288,481
288,785
288,790
288,416
289,751
290,932
291,426
292,895
292,345
292,1022
293,532
294,763
294,314
294,791
294,950
294,728
295,637
295,714
296,445
297,445
297,663
298,652
298,848
298,757
298,867
298,965
299,765
299,620
300,524
301,841
302,696
302,642
302,368
303,796
303,823
303,901
304,776
304,729
304,949
304,553
305,972
305,328
305,725
305,516
305,847
306,392
306,879
306,600
307,940
307,462
307,363
308,963
309,696
309,673
309,962
309,774
310,447
310,400
311,652
312,349
312,794
313,793
315,649
315,723
315,730
315,532
316,804
317,705
317,659
318,790
319,790
319,357
320,399
320,713
320,334
320,1006
321,428
321,751
321,897
321,583
321,827
322,454
322,706
322,421
322,1006
323,342
323,995
323,934
324,794
325,889
325,338
326,640
326,579
327,424
327,347
327,933
327,464
327,709
328,1038
328,609
331,470
331,587
331,1037
331,461
332,678
332,430
333,432
333,407
334,383
335,794
335,418
335,885
335,681
335,764
336,430
337,485
337,902
337,665
337,686
338,494
338,572
338,498
339,629
339,706
